Sample_ID,Max_VAF
1008_120315,0.017559263
1008_131115,0.020390824
1008_231015,0.021690014
1014_090516,0.036585366
1014_110116,0.086206897
1014_220416,0.225321888
1193_010816,0.055045872
1193_071016,0.6394453
1193_121015,0.739619986
123_070116,0.192902639
123_121115,0.019676739
123_310715,0.43381295
1505_070617,0.017857143
1505_230817,0.030501089
1505_271016,0.153701968
1531_010317,0.006144393
1531_010618,0.010484928
1531_010716,0.706702654
1531_011118,0.182976259
1531_040719,0.008607595
1531_071217,0.037878788
1531_090419,0.101704233
1531_111116,0.008898776
1531_160118,0.012731481
1531_180119,0.303134886
1531_190816,0.007002424
1531_200218,0.040421793
1531_210319,0.067961165
1531_230817,0.011627907
1531_240418,0.017338535
1531_240517,0.006299213
1531_300419,0.009438009
269_190815,0.012903226
269_200116,0.059149723
269_281015,0.002741604
2882_120619,0.059483994
2882_150519,0.58553587
2882_181019,0.678668684
2882_260719,0.199938004
2882_270519,0.112752339
2958_020819,0.334612433
2958_100120,0.001738123
2958_130919,0.634674246
2958_141219,0.001928021
2958_271219,0.001421127
2958_291017,0.559111292
3035_100120,0.170918367
3035_131219,0.613333333
3035_271219,0.345738943
330_030615,0.192411924
330_091115,0.302325581
330_280915,0.3025
552_091116,0.012515139
552_121016,0.017060367
633_070116,0.696029777
633_111115,0.150353179
633_280415,0.43061956
897_040316,0.169961977
897_160715,0.348653972
897_220116,0.345971564
933_091115,0.025974026
933_110116,0.054054054
933_160317,0.215384615
933_221214,0.013605442
933_270415,0.216
986_011015,0.013562387
986_011216,0.585365854
986_030217,0.730561555
986_040216,0.223974763
986_050117,0.648742588
986_050716,0.035943517
986_060315,0.187342833
986_060616,0.43274244
986_090217,0.627011581
986_110215,0.311955307
986_110516,0.003457217
986_110615,0.001579779
986_210416,0.003003003
986_240217,0.54243031
986_240517,0.839835729
986_250117,0.493139293
986_260916,0.736714242
986_261016,0.404716073
986_291015,0.107954545
986_300316,0.000878
986_300317,0.80952381
D14,0.66
D19,0.702
D23,0.7115
D7,0.486
D9,0.5275
E10c,0.546
E2c,0.4905
E6c,0.458
E7c,0.388
E8c,0.49
