contig,start,end,coverage
chr1,900001,1000000,5.044506614826244
chr1,1000001,1100000,7.491868899406285
chr1,1100001,1200000,23.350659372188183
chr1,1200001,1300000,5.236241877542525
chr1,1300001,1400000,2.1290336413548574
chr1,1400001,1500000,8.07568105199572
chr1,1500001,1600000,2.3995387566244784
chr1,1700001,1800000,19.149475493119198
chr1,1800001,1900000,6.9554580876891565
chr1,1900001,2000000,5.6430423640518175
chr1,2000001,2100000,7.035339452375079
chr1,2100001,2200000,3.2644207482430154
chr1,2200001,2300000,3.8304291387203966
chr1,2300001,2400000,5.634650954893101
chr1,2400001,2500000,3.6891623792939776
chr1,2700001,2800000,1.0571626822029425
chr1,2800001,2900000,7.4696930275882085
chr1,2900001,3000000,6.319444283374086
chr1,3000001,3100000,7.795600538678846
chr1,3100001,3200000,7.8884196885922115
chr1,3200001,3300000,8.740895671699004
chr1,3300001,3400000,2.2832663559129105
chr1,3400001,3500000,4.688956590649727
chr1,3500001,3600000,6.901525990072674
chr1,3600001,3700000,9.482638687589972
chr1,3700001,3800000,3.7609300774262078
chr1,4000001,4100000,14.825465241737938
chr1,4100001,4200000,19.393233444733415
chr1,4200001,4300000,14.68335250319522
chr1,4300001,4400000,3.9997694483508726
chr1,4400001,4500000,0.4966877398523192
chr1,4500001,4600000,17.201793539489813
chr1,4600001,4700000,4.675783399925894
chr1,4700001,4800000,5.366079651919274
chr1,4800001,4900000,3.097731360488804
chr1,4900001,5000000,0.0
chr1,5000001,5100000,7.630798464966112
chr1,5100001,5200000,20.00654864741728
chr1,5200001,5300000,8.066828355639878
chr1,5300001,5400000,14.025071889467135
chr1,5400001,5500000,5.402824479731176
chr1,5500001,5600000,7.862104383036325
chr1,5600001,5700000,9.930006060336174
chr1,5800001,5900000,6.185398187918624
chr1,5900001,6000000,8.49417727658098
chr1,6000001,6100000,8.546078258749855
chr1,6100001,6200000,12.603025568847423
chr1,6200001,6300000,5.394990538606722
chr1,6300001,6400000,8.558587248852833
chr1,6400001,6500000,15.440786674052866
