chr,pos,strand,type,start,end,gene,transcript,group
chr1,12848720,-,promoter,12846720,12850720,HNRNPCL1,ENST00000317869.7,TPM <= 0.01
chr1,26046118,-,promoter,26044118,26048118,SLC30A2,ENST00000374276.4,TPM <= 0.01
chr1,53739164,-,promoter,53737164,53741164,GLIS1,ENST00000628545.2,TPM <= 0.01
chr1,99264491,+,promoter,99262491,99266491,PLPPR4,ENST00000370185.9,TPM <= 0.01
chr1,152115444,-,promoter,152113444,152117444,TCHH,ENST00000614923.2,TPM <= 0.01
chr1,152623103,-,promoter,152621103,152625103,LCE3A,ENST00000335674.1,TPM <= 0.01
chr1,160081537,+,promoter,160079537,160083537,KCNJ9,ENST00000368088.4,TPM <= 0.01
chr1,175743595,-,promoter,175741595,175745595,TNR,ENST00000367674.7,TPM <= 0.01
chr1,201127184,-,promoter,201125184,201129184,ASCL5,ENST00000449188.3,TPM <= 0.01
chr1,211134148,-,promoter,211132148,211136148,KCNH1,ENST00000271751.10,TPM <= 0.01
chr1,215082736,+,promoter,215080736,215084736,KCNK2,ENST00000444842.7,TPM <= 0.01
chr1,219928557,-,promoter,219926557,219930557,SLC30A10,ENST00000366926.4,TPM <= 0.01
chr1,231162057,+,promoter,231160057,231164057,TRIM67,ENST00000366653.6,TPM <= 0.01
chr10,5185150,-,promoter,5183150,5187150,AKR1C8,ENST00000648824.2,TPM <= 0.01
chr10,47300196,+,promoter,47298196,47302196,GDF10,ENST00000580279.2,TPM <= 0.01
chr10,68232113,-,promoter,68230113,68234113,ATOH7,ENST00000373673.5,TPM <= 0.01
chr10,93757935,+,promoter,93755935,93759935,LGI1,ENST00000371418.9,TPM <= 0.01
chr10,107164706,-,promoter,107162706,107166706,SORCS1,ENST00000263054.11,TPM <= 0.01
chr10,125775821,-,promoter,125773821,125777821,MMP21,ENST00000368808.3,TPM <= 0.01
chr10,127549308,+,promoter,127547308,127551308,NPS,ENST00000398023.3,TPM <= 0.01
chr11,2444514,-,promoter,2442514,2446514,TRPM5,ENST00000696290.1,TPM <= 0.01
chr11,6107683,+,promoter,6105683,6109683,OR56B4,ENST00000316529.3,TPM <= 0.01
chr11,47586677,+,promoter,47584677,47588677,FAM180B,ENST00000538490.3,TPM <= 0.01
chr11,56663685,+,promoter,56661685,56665685,OR5AR1,ENST00000624596.2,TPM <= 0.01
chr11,64291301,+,promoter,64289301,64293301,KCNK4,ENST00000422670.7,TPM <= 0.01
chr11,66049161,-,promoter,66047161,66051161,GAL3ST3,ENST00000312006.5,TPM <= 0.01
chr11,66593063,-,promoter,66591063,66595063,CCDC87,ENST00000333861.5,TPM <= 0.01
chr11,67523446,-,promoter,67521446,67525446,CABP2,ENST00000294288.5,TPM <= 0.01
chr11,107018476,-,promoter,107016476,107020476,GUCY1A2,ENST00000526355.7,TPM <= 0.01
chr11,113475398,-,promoter,113473398,113477398,DRD2,ENST00000362072.8,TPM <= 0.01
chr11,119149051,+,promoter,119147051,119151051,ABCG4,ENST00000619701.5,TPM <= 0.01
chr11,123995161,-,promoter,123993161,123997161,OR10G6,ENST00000307002.3,TPM <= 0.01
chr11,125904507,+,promoter,125902507,125906507,DDX25,ENST00000263576.11,TPM <= 0.01
chr12,10986912,-,promoter,10984912,10988912,TAS2R50,ENST00000506868.1,TPM <= 0.01
chr12,52367481,-,promoter,52365481,52369481,KRT85,ENST00000257901.7,TPM <= 0.01
chr12,71439797,+,promoter,71437797,71441797,LGR5,ENST00000266674.10,TPM <= 0.01
chr12,106583003,+,promoter,106581003,106585003,RFX4,ENST00000392842.6,TPM <= 0.01
chr13,24309579,+,promoter,24307579,24311579,C1QTNF9,ENST00000332018.5,TPM <= 0.01
chr13,26760786,-,promoter,26758786,26762786,GPR12,ENST00000405846.5,TPM <= 0.01
chr13,96994476,-,promoter,96992476,96996476,OXGR1,ENST00000541038.2,TPM <= 0.01
chr14,61812702,+,promoter,61810702,61814702,SYT16,ENST00000683842.1,TPM <= 0.01
chr14,70452173,+,promoter,70450173,70454173,ADAM21,ENST00000603540.2,TPM <= 0.01
chr15,31101725,-,promoter,31099725,31103725,TRPM1,ENST00000256552.11,TPM <= 0.01
chr15,34343314,+,promoter,34341314,34345314,NUTM1,ENST00000537011.6,TPM <= 0.01
chr15,53759663,-,promoter,53757663,53761663,WDR72,ENST00000360509.10,TPM <= 0.01
chr15,55588345,-,promoter,55586345,55590345,PYGO1,ENST00000563719.4,TPM <= 0.01
chr15,81374213,-,promoter,81372213,81376213,TMC3,ENST00000359440.6,TPM <= 0.01
chr15,88803435,+,promoter,88801435,88805435,ACAN,ENST00000560601.4,TPM <= 0.01
chr16,2471296,+,promoter,2469296,2473296,NTN3,ENST00000293973.2,TPM <= 0.01
chr16,3355888,+,promoter,3353888,3357888,OR2C1,ENST00000304936.4,TPM <= 0.01
chr16,12901597,+,promoter,12899597,12903597,SHISA9,ENST00000558583.3,TPM <= 0.01
chr16,22162505,+,promoter,22160505,22164505,SDR42E2,ENST00000602312.3,TPM <= 0.01
chr16,29778255,+,promoter,29776255,29780255,ZG16,ENST00000400752.6,TPM <= 0.01
chr16,66844413,+,promoter,66842413,66846413,CA7,ENST00000338437.7,TPM <= 0.01
chr16,66918885,-,promoter,66916885,66920885,CDH16,ENST00000299752.9,TPM <= 0.01
chr16,72000402,-,promoter,71998402,72002402,PKD1L3,ENST00000620267.2,TPM <= 0.01
chr16,86510526,+,promoter,86508526,86512526,FOXF1,ENST00000262426.6,TPM <= 0.01
chr17,2749652,-,promoter,2747652,2751652,CCDC92B,ENST00000614400.2,TPM <= 0.01
chr17,8758546,-,promoter,8756546,8760546,SPDYE4,ENST00000689094.1,TPM <= 0.01
chr17,15732282,+,promoter,15730282,15734282,TBC1D26,ENST00000437605.4,TPM <= 0.01
chr17,19716584,-,promoter,19714584,19718584,SLC47A2,ENST00000433844.4,TPM <= 0.01
chr17,34579581,+,promoter,34577581,34581581,TMEM132E,ENST00000631683.2,TPM <= 0.01
chr17,35121614,+,promoter,35119614,35123614,FNDC8,ENST00000158009.6,TPM <= 0.01
chr17,35760886,+,promoter,35758886,35762886,C17orf50,ENST00000605587.2,TPM <= 0.01
chr17,40885242,-,promoter,40883242,40887242,KRT20,ENST00000167588.4,TPM <= 0.01
chr17,43780434,+,promoter,43778434,43782434,CFAP97D1,ENST00000449302.8,TPM <= 0.01
chr17,49995224,-,promoter,49993224,49997224,DLX3,ENST00000434704.2,TPM <= 0.01
chr17,81902237,+,promoter,81900237,81904237,NPB,ENST00000333383.8,TPM <= 0.01
chr18,22417915,-,promoter,22415915,22419915,CTAGE1,ENST00000391403.4,TPM <= 0.01
chr18,31760880,-,promoter,31758880,31762880,SLC25A52,ENST00000269205.7,TPM <= 0.01
chr19,409147,-,promoter,407147,411147,C2CD4C,ENST00000332235.8,TPM <= 0.01
chr19,12969575,+,promoter,12967575,12971575,DAND5,ENST00000317060.4,TPM <= 0.01
chr19,18896158,-,promoter,18894158,18898158,GDF1,ENST00000247005.8,TPM <= 0.01
chr19,51251079,+,promoter,51249079,51253079,SIGLECL1,ENST00000601727.6,TPM <= 0.01
chr19,56197783,-,promoter,56195783,56199783,ZSCAN5B,ENST00000586855.7,TPM <= 0.01
chr2,2331275,-,promoter,2329275,2333275,MYT1L,ENST00000647738.2,TPM <= 0.01
chr2,15940549,+,promoter,15938549,15942549,MYCN,ENST00000281043.4,TPM <= 0.01
chr2,20012668,-,promoter,20010668,20014668,MATN3,ENST00000407540.8,TPM <= 0.01
chr2,38889874,+,promoter,38887874,38891874,ARHGEF33,ENST00000409978.7,TPM <= 0.01
chr2,73293548,-,promoter,73291548,73295548,EGR4,ENST00000436467.4,TPM <= 0.01
chr2,105241742,+,promoter,105239742,105243742,GPR45,ENST00000258456.3,TPM <= 0.01
chr2,106886167,-,promoter,106884167,106888167,ST6GAL2,ENST00000409382.8,TPM <= 0.01
chr2,127701496,+,promoter,127699496,127703496,SFT2D3,ENST00000310981.6,TPM <= 0.01
chr2,131209535,+,promoter,131207535,131211535,POTEE,ENST00000683005.1,TPM <= 0.01
chr2,142131016,-,promoter,142129016,142133016,LRP1B,ENST00000389484.8,TPM <= 0.01
chr2,165239413,+,promoter,165237413,165241413,SCN2A,ENST00000375437.7,TPM <= 0.01
chr2,167293000,+,promoter,167291000,167295000,B3GALT1,ENST00000392690.4,TPM <= 0.01
chr2,190062729,-,promoter,190060729,190064729,MSTN,ENST00000260950.5,TPM <= 0.01
chr2,201619178,-,promoter,201617178,201621178,C2CD6,ENST00000439140.6,TPM <= 0.01
chr2,201698644,-,promoter,201696644,201700644,MPP4,ENST00000409474.8,TPM <= 0.01
chr2,209771831,+,promoter,209769831,209773831,UNC80,ENST00000673920.1,TPM <= 0.01
